# 1Rp     2Pi   3data_points     4W      5W_err  6e+     7e+_err 8eX 9eX_err     10e++   11e++_err               12eXX   13eXX_err               14e+X   15e+X_err       16etheta          17etheta_err       18wt_num     19wt_num_err 
0.117766        -95         0       0.0240326      0.352302       -0.0522798      0.0673708       -0.0850195      0.07017       0      0       0      0       0      0       0.0413313      0.297803   0      0
0.117766        -85         0       -0.0321782      0.374073       -0.0359328      0.0573678       0.030554      0.027869       0      0       0      0       0      0       -0.143889      0.34129   0      0
0.117766        -75         0       -0.750973      0.277991       -0.058041      0.0418005       -0.0209976      0.0383606       0      0       0      0       0      0       -0.297665      0.286054   0      0
0.117766        -65         0       -0.539205      0.268342       0.0219762      0.0316222       -0.000725837      0.0518126       0      0       0      0       0      0       -0.488823      0.159452   0      0
0.117766        -55         0       -0.576984      0.308415       -0.00818104      0.0387243       -0.0383229      0.0275695       0      0       0      0       0      0       -0.346265      0.294056   0      0
0.117766        -45         0       -0.151177      0.358108       -0.0533175      0.0376172       -0.027904      0.0249713       0      0       0      0       0      0       -0.124843      0.303555   0      0
0.117766        -35         0       -0.381615      0.315275       0.00246395      0.0498407       -0.0303988      0.0303074       0      0       0      0       0      0       -0.11924      0.315829   0      0
0.117766        -25         0       0.0158942      0.378842       0.0636155      0.0400751       -0.117995      0.0624617       0      0       0      0       0      0       -0.206112      0.257084   0      0
0.117766        -15         0       6.4904      1.17241       0.353798      0.123383       -0.0709428      0.11025       0      0       0      0       0      0       4.20972      0.880097   0      0
0.117766        -5         0       42.4148      2.95437       1.09222      0.297205       -0.212117      0.254808       0      0       0      0       0      0       28.9048      2.34619   0      0
0.117766        5         0       198.884      9.95578       1.92375      0.549843       0.531488      0.62088       0      0       0      0       0      0       147.078      7.62443   0      0
0.117766        15         0       6.01164      1.07183       0.00632014      0.0868358       0.0420747      0.114733       0      0       0      0       0      0       4.80706      0.900485   0      0
0.117766        25         0       -0.250622      0.345527       0.0745007      0.0496372       0.0769006      0.0385869       0      0       0      0       0      0       -0.300575      0.274175   0      0
0.117766        35         0       -0.957536      0.294809       0.028888      0.0315221       -0.0172298      0.0225825       0      0       0      0       0      0       -0.577163      0.231877   0      0
0.117766        45         0       -0.430999      0.351424       0.040412      0.0417016       -0.0211895      0.0552363       0      0       0      0       0      0       -0.253001      0.263589   0      0
0.117766        55         0       -0.551458      0.306918       -0.0120287      0.0203006       0.0133231      0.0242387       0      0       0      0       0      0       -0.421125      0.254489   0      0
0.117766        65         0       -0.531534      0.281198       -0.00819734      0.0243524       -0.0296707      0.0349403       0      0       0      0       0      0       -0.441675      0.226952   0      0
0.117766        75         0       -0.702939      0.242355       0.0368795      0.0253206       -0.00404644      0.0265568       0      0       0      0       0      0       -0.758282      0.12094   0      0
0.117766        85         0       -0.623737      0.363228       -0.0146474      0.0508       0.0480944      0.0613631       0      0       0      0       0      0       -0.323099      0.350981   0      0
0.117766        95         0       -0.565961      0.292356       0.0359852      0.0302116       -0.0605127      0.0643437       0      0       0      0       0      0       -0.469261      0.203344   0      0
0.15961        -95         0       -0.613547      0.246625       0.0114538      0.0303277       0.00384657      0.0301542       0      0       0      0       0      0       -0.525471      0.198037   0      0
0.15961        -85         0       -0.691545      0.178631       -0.027427      0.0247638       -0.0402378      0.0220199       0      0       0      0       0      0       -0.498474      0.158465   0      0
0.15961        -75         0       -0.706468      0.207396       0.0327615      0.026658       0.00900975      0.0246812       0      0       0      0       0      0       -0.601218      0.155281   0      0
0.15961        -65         0       -0.422724      0.241868       0.0201935      0.0250624       0.0484201      0.0390612       0      0       0      0       0      0       -0.313733      0.196428   0      0
0.15961        -55         0       -0.181716      0.26378       0.0734619      0.0337803       0.0120889      0.0407057       0      0       0      0       0      0       -0.345065      0.179331   0      0
0.15961        -45         0       -0.323847      0.252365       0.00867659      0.0259653       0.0565864      0.0387296       0      0       0      0       0      0       -0.251529      0.214721   0      0
0.15961        -35         0       0.326034      0.30578       0.036863      0.044503       -0.0277756      0.0296919       0      0       0      0       0      0       0.0840098      0.263752   0      0
0.15961        -25         0       -0.0243338      0.258559       -0.068772      0.0389308       -0.0532471      0.0471411       0      0       0      0       0      0       0.0638974      0.227887   0      0
0.15961        -15         0       5.73113      0.836521       0.149627      0.0845732       0.0775422      0.0902895       0      0       0      0       0      0       4.33155      0.673007   0      0
0.15961        -5         0       36.7595      2.05635       0.263156      0.220981       -0.162924      0.20224       0      0       0      0       0      0       27.963      1.69405   0      0
0.15961        5         0       145.349      5.51268       1.36186      0.451771       0.605688      0.413897       0      0       0      0       0      0       107.13      4.2084   0      0
0.15961        15         0       5.19363      0.713456       0.136935      0.082223       -0.0100825      0.0639601       0      0       0      0       0      0       3.63759      0.573794   0      0
0.15961        25         0       -0.142394      0.290544       -0.00168718      0.0265648       -0.0119869      0.0294784       0      0       0      0       0      0       -0.21879      0.222054   0      0
0.15961        35         0       -0.00187998      0.296272       -0.0370442      0.0237486       0.0109513      0.0264243       0      0       0      0       0      0       0.0791641      0.238127   0      0
0.15961        45         0       -0.216308      0.256098       0.0491215      0.0395647       -0.0463893      0.0480334       0      0       0      0       0      0       -0.226376      0.197492   0      0
0.15961        55         0       -0.478522      0.268808       -0.0233825      0.0237208       -0.0169448      0.040283       0      0       0      0       0      0       -0.252529      0.23269   0      0
0.15961        65         0       -0.43022      0.245734       0.0202536      0.029654       -0.00735148      0.0263311       0      0       0      0       0      0       -0.367515      0.176415   0      0
